GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030664.1_cds_XP_017605473.1_243	25	16	40	47	37	27
lcl|NC_030664.1_cds_XP_017646094.1_244	13	7	16	11	6	2
lcl|NC_030664.1_cds_XP_017627757.1_245	183	129	128	115	130	80
lcl|NC_030664.1_cds_XP_017644688.1_246	0	0	0	0	0	1
lcl|NC_030664.1_cds_XP_017644668.1_247	0	0	1	0	1	2
lcl|NC_030664.1_cds_XP_017614720.1_249	84	66	110	113	95	80
lcl|NC_030664.1_cds_XP_017623119.1_250	316	241	280	201	142	68
lcl|NC_030664.1_cds_XP_017624759.1_251	39	24	67	84	66	35
lcl|NC_030664.1_cds_XP_017628744.1_252	24	19	13	17	23	11
lcl|NC_030664.1_cds_XP_017647930.1_253	2	2	2	7	0	0
lcl|NC_030664.1_cds_XP_017640354.1_254	186	98	147	152	119	79
lcl|NC_030664.1_cds_XP_017610459.1_255	136	110	119	99	156	116
lcl|NC_030664.1_cds_XP_017625462.1_256	15	8	16	22	26	17
lcl|NC_030664.1_cds_XP_017644476.1_257	1	1	0	1	4	3
lcl|NC_030664.1_cds_XP_017626220.1_258	102	70	210	174	112	77
lcl|NC_030664.1_cds_XP_017625804.1_260	106	66	95	99	72	49
lcl|NC_030664.1_cds_XP_017614560.1_262	18	13	36	44	29	22
lcl|NC_030664.1_cds_XP_017614566.1_263	25	22	51	33	22	25
lcl|NC_030664.1_cds_XP_017645418.1_265	236	185	257	168	298	140
lcl|NC_030664.1_cds_XP_017644586.1_266	5	2	4	4	5	2
lcl|NC_030664.1_cds_XP_017610402.1_267	584	398	328	349	346	277
lcl|NC_030664.1_cds_XP_017606368.1_268	108	85	75	65	36	30
lcl|NC_030664.1_cds_XP_017606384.1_270	122	79	73	56	51	30
lcl|NC_030664.1_cds_XP_017606454.1_271	281	184	246	207	180	156
lcl|NC_030664.1_cds_XP_017607725.1_272	136	81	110	95	104	71
lcl|NC_030664.1_cds_XP_017647290.1_273	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017639920.1_274	23	13	3	6	2	1
lcl|NC_030664.1_cds_XP_017645907.1_275	80	38	80	53	14	11
lcl|NC_030664.1_cds_XP_017623259.1_276	416	229	220	247	180	165
lcl|NC_030664.1_cds_XP_017607726.1_277	283	154	221	165	175	124
lcl|NC_030664.1_cds_XP_017628578.1_278	63	37	39	29	29	15
lcl|NC_030664.1_cds_XP_017614852.1_280	524	290	552	498	337	200
lcl|NC_030664.1_cds_XP_017614842.1_281	1	0	2	0	0	0
lcl|NC_030664.1_cds_XP_017642620.1_282	1	0	4	3	1	2
lcl|NC_030664.1_cds_XP_017642472.1_283	31	22	36	35	38	24
lcl|NC_030664.1_cds_XP_017642292.1_284	1	1	1	4	18	7
lcl|NC_030664.1_cds_XP_017603779.1_293	316	225	343	286	464	391
lcl|NC_030664.1_cds_XP_017610582.1_295	260	174	325	179	138	116
lcl|NC_030664.1_cds_XP_017635569.1_297	79	43	59	80	65	36
lcl|NC_030664.1_cds_XP_017603682.1_298	546	362	653	633	772	465
lcl|NC_030664.1_cds_XP_017614634.1_299	182	125	171	145	117	107
lcl|NC_030664.1_cds_XP_017629784.1_301	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629802.1_302	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017615063.1_303	80	63	93	66	25	12
lcl|NC_030664.1_cds_XP_017610276.1_305	234	136	289	270	300	196
lcl|NC_030664.1_cds_XP_017608419.1_306	388	209	315	524	275	175
lcl|NC_030664.1_cds_XP_017628611.1_307	21	11	45	32	20	20
lcl|NC_030664.1_cds_XP_017623353.1_308	70	42	68	57	58	46
lcl|NC_030664.1_cds_XP_017629821.1_309	0	1	0	0	1	0
lcl|NC_030664.1_cds_XP_017625562.1_310	41	29	48	55	42	37
lcl|NC_030664.1_cds_XP_017629832.1_312	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639573.1_313	198	159	175	149	203	99
lcl|NC_030664.1_cds_XP_017629850.1_314	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647757.1_315	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017624788.1_316	56	50	68	40	63	54
lcl|NC_030664.1_cds_XP_017626534.1_318	112	72	36	25	11	13
lcl|NC_030664.1_cds_XP_017640967.1_319	144	80	190	125	170	78
lcl|NC_030664.1_cds_XP_017607479.1_320	202	107	99	85	74	47
lcl|NC_030664.1_cds_XP_017607496.1_322	140	89	337	320	284	203
lcl|NC_030664.1_cds_XP_017609126.1_323	53	20	112	97	123	71
lcl|NC_030664.1_cds_XP_017629888.1_325	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639025.1_326	83	66	57	55	37	27
lcl|NC_030664.1_cds_XP_017604069.1_327	9902	7172	5939	4785	12429	8109
lcl|NC_030664.1_cds_XP_017623340.1_328	158	84	246	218	317	166
lcl|NC_030664.1_cds_XP_017622444.1_329	68	41	79	112	223	173
lcl|NC_030664.1_cds_XP_017627423.1_330	456	333	451	497	371	185
lcl|NC_030664.1_cds_XP_017624054.1_331	56	33	28	31	35	49
lcl|NC_030664.1_cds_XP_017645287.1_334	18	5	3	4	0	0
lcl|NC_030664.1_cds_XP_017645389.1_335	7	5	0	7	0	0
lcl|NC_030664.1_cds_XP_017613800.1_337	53	23	58	34	112	75
lcl|NC_030664.1_cds_XP_017613805.1_338	22	14	32	26	69	55
lcl|NC_030664.1_cds_XP_017645674.1_339	0	0	0	0	1	1
lcl|NC_030664.1_cds_XP_017629900.1_340	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627437.1_341	32	27	112	114	75	55
lcl|NC_030664.1_cds_XP_017623904.1_342	260	93	215	339	91	90
lcl|NC_030664.1_cds_XP_017611223.1_343	29	12	15	19	48	34
lcl|NC_030664.1_cds_XP_017629909.1_344	0	1	0	0	0	0
lcl|NC_030664.1_cds_XP_017645960.1_345	284	243	5	5	74	39
lcl|NC_030664.1_cds_XP_017647677.1_346	2	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629920.1_348	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647028.1_349	3	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622862.1_351	44	17	5	7	4	2
lcl|NC_030664.1_cds_XP_017629940.1_352	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644032.1_353	1	2	5	6	30	10
lcl|NC_030664.1_cds_XP_017642507.1_354	6	4	18	12	0	0
lcl|NC_030664.1_cds_XP_017645170.1_355	0	0	1	0	1	2
lcl|NC_030664.1_cds_XP_017640805.1_357	590	482	92	128	64	26
lcl|NC_030664.1_cds_XP_017624874.1_358	110	95	109	113	77	61
lcl|NC_030664.1_cds_XP_017606310.1_360	107	51	90	106	98	62
lcl|NC_030664.1_cds_XP_017606288.1_361	46	27	50	39	72	35
lcl|NC_030664.1_cds_XP_017640821.1_363	58	36	52	77	113	70
lcl|NC_030664.1_cds_XP_017643825.1_364	16	14	6	6	30	25
lcl|NC_030664.1_cds_XP_017643833.1_365	6	4	5	1	12	6
lcl|NC_030664.1_cds_XP_017605561.1_366	253	176	289	179	246	215
lcl|NC_030664.1_cds_XP_017630094.1_374	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614011.1_375	13	14	17	15	15	7
lcl|NC_030664.1_cds_XP_017614005.1_376	10	14	20	11	16	18
lcl|NC_030664.1_cds_XP_017613998.1_377	19	13	23	14	18	19
lcl|NC_030664.1_cds_XP_017630112.1_378	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640980.1_379	182	105	281	278	334	194
lcl|NC_030664.1_cds_XP_017630121.1_380	30	5	3	3	3	1
lcl|NC_030664.1_cds_XP_017648095.1_381	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641393.1_383	88	57	116	286	169	128
lcl|NC_030664.1_cds_XP_017630130.1_384	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630151.1_385	2	0	1	0	0	0
lcl|NC_030664.1_cds_XP_017643105.1_388	2	3	3	1	1	4
lcl|NC_030664.1_cds_XP_017644825.1_392	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644484.1_393	11	12	8	22	11	6
lcl|NC_030664.1_cds_XP_017614987.1_394	30	29	20	14	12	10
lcl|NC_030664.1_cds_XP_017607793.1_395	88	33	95	82	140	65
lcl|NC_030664.1_cds_XP_017607727.1_396	0	2	4	5	6	10
lcl|NC_030664.1_cds_XP_017645407.1_397	0	0	1	0	2	0
lcl|NC_030664.1_cds_XP_017630160.1_399	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626366.1_400	68	32	39	47	35	10
lcl|NC_030664.1_cds_XP_017643688.1_401	24	20	1	0	0	0
lcl|NC_030664.1_cds_XP_017644259.1_402	21	8	77	71	38	11
lcl|NC_030664.1_cds_XP_017645001.1_403	0	0	8	20	2	0
lcl|NC_030664.1_cds_XP_017630175.1_404	7	7	4	17	2	1
lcl|NC_030664.1_cds_XP_017630180.1_405	0	0	0	2	0	2
lcl|NC_030664.1_cds_XP_017621552.1_406	80	71	93	140	81	66
lcl|NC_030664.1_cds_XP_017630188.1_409	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017634832.1_410	168	88	119	159	367	232
lcl|NC_030664.1_cds_XP_017647597.1_411	3	1	1	4	0	0
lcl|NC_030664.1_cds_XP_017639898.1_412	493	334	427	509	467	279
lcl|NC_030664.1_cds_XP_017643982.1_416	0	1	2	0	1	0
lcl|NC_030664.1_cds_XP_017606594.1_417	149	98	171	162	111	101
lcl|NC_030664.1_cds_XP_017606606.1_418	8	7	15	14	5	6
lcl|NC_030664.1_cds_XP_017639718.1_419	564	389	459	576	608	377
lcl|NC_030664.1_cds_XP_017640598.1_420	0	4	6	5	105	42
lcl|NC_030664.1_cds_XP_017637106.1_421	198	96	147	224	267	187
